adm0_src,adm0_name,adm0_name1,adm0_point,adm1_line,adm1_point,adm2_line,adm2_point,adm3_line,adm3_point,adm4_line,adm4_point
RUS,Russian Federation,Russian Federation,2,3,4,5,7,,,,
RWA,Rwanda,Rwanda,3,4,7,8,9,10,11,,
SAU,Saudi Arabia,Saudi Arabia,2,4,5,,,,,,
SDN,Sudan,Sudan,2,4,5,6,7,,,,
SEN,Senegal,Senegal,3,4,6,7,8,9,10,,
SGP,Singapore,Singapore,3,4,8,,,,,,
SGS,South Georgia and the South Sandwich Islands (UK),South Georgia and the South Sandwich Islands,4,,,,,,,,
SHN_1,Saint Helena (UK),Saint Helena,4,,,,,,,,
SHN_2,Ascencion (UK),Saint Helena,5,,,,,,,,
SHN_3,Tristan da Cunha (UK),Saint Helena,5,,,,,,,,
SHN_4,Gough (UK),Saint Helena,5,,,,,,,,
SJM_1,Svalbard Islands (Nor.),Svalbard and Jan Mayen Islands,3,,,,,,,,
SJM_2,Jan Mayen Island (Nor.),Svalbard and Jan Mayen Islands,4,,,,,,,,
SLB,Solomon Islands,Solomon Islands,4,4,6,7,8,9,10,,
SLE,Sierra Leone,Sierra Leone,3,4,5,6,7,8,9,10,11
SLV,El Salvador,El Salvador,4,4,7,8,10,,,,
SMR,San Marino,San Marino,5,4,10,,,,,,
SOM,Somalia,Somalia,2,4,5,6,7,,,,
SPM,Saint Pierre and Miquelon (Fr.),Saint Pierre and Miquelon,4,4,7,,,,,,
SRB,Serbia,Serbia,3,4,6,7,8,,,,
SRB_1,Serbia,Serbia,3,4,6,7,8,,,,
SRB_2,Vojvodina,Serbia,4,4,6,7,8,,,,
SSD,South Sudan,South Sudan,2,4,5,6,7,,,,
STP,Sao Tome and Principe,Sao Tome and Principe,4,4,6,7,8,,,,
SUR,Suriname,Suriname,2,4,6,7,8,,,,
SVK,Slovakia,Slovakia,3,4,6,7,8,,,,
SVN,Slovenia,Slovenia,4,4,7,8,9,,,,
SWE,Sweden,Sweden,2,4,5,6,7,,,,
SWZ,Eswatini,Eswatini,3,4,7,8,9,,,,
SXM,Sint Maarten (Neth.),Sint Maarten (Dutch part),9,4,10,,,,,,
SYC,Seychelles,Seychelles,4,4,7,8,9,10,11,,
SYR,Syrian Arab Republic,Syrian Arab Republic,2,4,5,6,7,8,9,,
TCA,Turks and Caicos Islands (UK),Turks and Caicos Islands,4,4,8,,,,,,
TCD,Chad,Chad,2,4,5,6,7,8,9,,
TGO,Togo,Togo,3,4,5,6,7,8,9,,
THA,Thailand,Thailand,2,4,7,8,9,10,11,,
TJK,Tajikistan,Tajikistan,3,4,6,7,8,,,,
TKL,Tokelau (NZ),Tokelau,4,4,8,,,,,,
TKM,Turkmenistan,Turkmenistan,2,4,5,,,,,,
TLS,Timor-Leste,Timor-Leste,4,4,7,8,9,10,11,,
TON,Tonga,Tonga,4,4,7,8,9,10,11,,
TTO,Trinidad and Tobago,Trinidad and Tobago,4,4,8,,,,,,
TUN,Tunisia,Tunisia,2,4,6,7,8,,,,
TUR,Turkey,Turkey,2,4,6,7,8,,,,
TUV,Tuvalu,Tuvalu,4,4,8,,,,,,
TWN,Taiwan,"Taiwan, Province of China",3,4,6,7,8,,,,
TZA,United Republic of Tanzania,United Republic of Tanzania,2,4,6,7,8,9,10,,
UGA,Uganda,Uganda,3,4,5,6,7,8,9,10,11
UKR,Ukraine,Ukraine,2,4,6,7,8,,,,
UMI_1,Baker Island (USA),United States Minor Outlying Islands,4,,,,,,,,
UMI_2,Howland Island (USA),United States Minor Outlying Islands,4,,,,,,,,
UMI_3,Jarvis Island (USA),United States Minor Outlying Islands,4,,,,,,,,
UMI_4,Johnston Atoll (USA),United States Minor Outlying Islands,4,,,,,,,,
UMI_5,Kingman Reef (USA),United States Minor Outlying Islands,4,,,,,,,,
UMI_6,Midway Islands (USA),United States Minor Outlying Islands,4,,,,,,,,
UMI_7,Palmyra Atoll (USA),United States Minor Outlying Islands,4,,,,,,,,
UMI_8,Wake Island (USA),United States Minor Outlying Islands,4,,,,,,,,
UMI_9,Navassa Island (USA),United States Minor Outlying Islands,4,,,,,,,,
URY,Uruguay,Uruguay,2,4,6,7,8,,,,
USA,United States of America,United States of America,2,3,4,5,6,7,8,,
UZB,Uzbekistan,Uzbekistan,2,4,6,7,8,,,,
VAT,Holy See,Holy See,10,,,,,,,,
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,5,4,9,,,,,,
VEN_1,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),2,4,6,7,8,9,10,,
VEN_2,Bird Island (Ven.),Venezuela (Bolivarian Republic of),9,,,,,,,,
VGB,British Virgin Islands (UK),British Virgin Islands,4,4,8,,,,,,
VIR,United States Virgin Islands (USA),United States Virgin Islands,6,4,8,9,10,,,,
VNM,Viet Nam,Viet Nam,2,4,6,7,9,,,,
VUT,Vanuatu,Vanuatu,4,4,6,7,8,,,,
WLF,Wallis and Futuna Islands (Fr.),Wallis and Futuna Islands,4,4,7,8,9,,,,
WSM,Samoa,Samoa,5,4,8,9,10,,,,
YEM,Yemen,Yemen,2,4,7,8,9,10,11,,
ZAF,South Africa,South Africa,2,4,5,6,7,8,9,10,11
ZMB,Zambia,Zambia,2,4,5,6,7,,,,
ZWE,Zimbabwe,Zimbabwe,2,4,6,7,8,9,10,,
XAB,Abyei,Abyei,5,,,,,,,,
XAC,,Aksai Chin,4,,,,,,,,
XAK,Azad Kashmir and Northern Areas,Azad Kashmir and Northern Areas,4,,,,,,,,
XAP,,Arunachal Pradesh,4,,,,,,,,
XCE,,Chumar East,9,,,,,,,,
XCH,,Chumar,9,,,,,,,,
XCR,,Congo River,9,,,,,,,,
XDE,,Demchok,9,,,,,,,,
XDI,,Doumeira Islands,9,,,,,,,,
XDS,,Dramana-Shakatoe,9,,,,,,,,
XGH,,Golan Heights,9,,,,,,,,
XHI,,Hans Island,9,,,,,,,,
XHT,,Hala'ib Triangle,7,,,,,,,,
XIB,,Isla Brasilera,9,,,,,,,,
XIK,,Imia/Kardak,9,,,,,,,,
XIT_1,,Ilemi Triangle,9,,,,,,,,
XIT_2,,Ilemi Triangle,9,,,,,,,,
XIT_3,,Ilemi Triangle,9,,,,,,,,
XJK,Jammu and Kashmir,Jammu and Kashmir,4,,,,,,,,
XJL,,No Man's Land,5,,,,,,,,
XJN,,Jadh-Nelang,9,,,,,,,,
XKA,,Kalapani,9,,,,,,,,
XKI,,Kuril Islands,5,,,,,,,,
XKK,,Kafia Kingi,9,,,,,,,,
XKO,,Koualou,9,,,,,,,,
XKU,,Kauirik,9,,,,,,,,
XKX,Kosovo,Kosovo,4,,,,,,,,
XLB,,Lapthal-Bara Hoti,9,,,,,,,,
XLR,,Liancourt Rocks,9,,,,,,,,
XMA,,Machias Seal Island,9,,,,,,,,
XMB,,Mont Blanc,9,,,,,,,,
XMR,,Moselle River,9,,,,,,,,
XMS,,Bi'r Tawīl,5,,,,,,,,
XPH,,Pheasant Island,9,,,,,,,,
XPI,,Paracel Islands,4,,,,,,,,
XSI,,Spratly Islands,4,,,,,,,,
XSK,,Senkaku Islands,9,,,,,,,,
XSP,,Shipki Pass,9,,,,,,,,
XSR,,Scarborough Reef,9,,,,,,,,
XSS,,Siachen-Saltoro,9,,,,,,,,
XUK_1,Akrotiri (UK),Akrotiri and Dekelia,8,,,,,,,,
XUK_2,Dekelia (UK),Akrotiri and Dekelia,8,,,,,,,,
